<b> You are part of a data science team that is working for a national fast-food chain. You create a simple report that shows trend: Customers who visit the store more often and buy smaller meals spend more than customers who visit less frequently and buy larger meals. What is the most likely diagram that your team created?</b><br><ul><li>multiclass classification diagram</li><li>linear regression and scatter plots</li><li>pivot table</li><li>K-means cluster diagram</li></ul>,linear regression and scatter plots
<b> You work for an organization that sells a spam filtering service to large companies. Your organization wants to transition its product to use machine learning. It currently a list Of </b><br><ul><li>The product would look for new patterns in spam messages.</li><li>The product could go through the keyword list much more quickly.</li><li>The product could have a much longer keyword list.</li><li>The product could find spam messages using far fewer keywords.</li></ul>,The product could find spam messages using far fewer keywords.
"<b> You work for a music streaming service and want to use supervised machine learning to classify music into different genres. Your service has collected thousands of songs in each genre, and you used this as your training data. Now you pull out a small random subset of all the songs in your service. What is this subset called?</b><br><ul><li>data cluster</li><li>Supervised set</li><li>big data</li><li>test data</li></ul>",test data
"<b> In traditional computer programming, you input commands. What do you input with machine learning?</b><br><ul><li>patterns</li><li>programs</li><li>rules</li><li>data</li></ul>",data
"<b> Your company wants to predict whether existing automotive insurance customers are more likely to buy homeowners insurance. It created a model to better predict the best customers contact about homeowners insurance, and the model had a low variance but high bias. What does that say about the data model?</b><br><ul><li>It was consistently wrong.</li><li>It was inconsistently wrong.</li><li>It was consistently right.</li><li>It was equally right end wrong.</li></ul>",It was consistently wrong.<br><br>[Reference](https://medium.com/datadriveninvestor/bias-and-variance-in-machine-learning-51fdd38d1f86)<br>
"<b> You want to identify global weather patterns that may have been affected by climate change. To do so, you want to use machine learning algorithms to find patterns that would otherwise be imperceptible to a human meteorologist. What is the place to start?</b><br><ul><li>Find labeled data of sunny days so that the machine will learn to identify bad weather.</li><li>Use unsupervised learning have the machine look for anomalies in a massive weather database.</li><li>Create a training set of unusual patterns and ask the machine learning algorithms to classify them.</li><li>Create a training set of normal weather and have the machine look for similar patterns.</li></ul>",Create a training set of normal weather and have the machine look for similar patterns.
<b> You work in a data science team that wants to improve the accuracy of its K-nearest neighbor result by running on top of a naive Bayes result. What is this an example of?</b><br><ul><li>regression</li><li>boosting</li><li>bagging</li><li>stacking</li></ul>,stacking
<b> `____` looks at the relationship between predictors and your outcome.</b><br><ul><li>Regression analysis</li><li>K-means clustering</li><li>Big data</li><li>Unsupervised learning</li></ul>,Regression analysis
<b> What is an example of a commercial application for a machine learning system?</b><br><ul><li>a data entry system</li><li>a data warehouse system</li><li>a massive data repository</li><li>a product recommendation system</li></ul>,a product recommendation system
"<b> What does this image illustrate?</b><br><br><img src=""machine-learning-quiz_machine-learning_Q10""><br><br><ul><li>a decision tree</li><li>reinforcement learning</li><li>K-nearest neighbor</li><li>a clear trendline</li></ul>",a decision tree
"<b> You work for a power company that owns hundreds of thousands of electric meters. These meters are connected to the internet and transmit energy usage data in real-time. Your supervisor asks you to direct project to use machine learning to analyze this usage data. Why are machine learning algorithms ideal in this scenario?</b><br><ul><li>The algorithms would help the meters access the internet.</li><li>The algorithms will improve the wireless connectivity.</li><li>The algorithms would help your organization see patterns of the data.</li><li>By using machine learning algorithms, you are creating an IoT device.</li></ul>",The algorithms would help your organization see patterns of the data.
<b> To predict a quantity value. use `___`.</b><br><ul><li>regression</li><li>clustering</li><li>classification</li><li>dimensionality reduction</li></ul>,regression
<b> Why is naive Bayes called naive?</b><br><ul><li>It naively assumes that you will have no data.</li><li>It does not even try to create accurate predictions.</li><li>It naively assumes that the predictors are independent from one another.</li><li>It naively assumes that all the predictors depend on one another.</li></ul>,It naively assumes that the predictors are independent from one another.
"<b> You work for an ice cream shop and created the chart below, which shows the relationship between the outside temperature and ice cream sales. What is the best description of this chart?</b><br><br><img src=""machine-learning-quiz_machine-learning_Q14""><br><br><ul><li>It is a linear regression chart.</li><li>It is a supervised trendline chart.</li><li>It is a decision tree.</li><li>It is a clustering trend chart.</li></ul>",It is a linear regression chart.
"<b> How is machine learning related to artificial intelligence?</b><br><ul><li>Artificial intelligence focuses on classification, while machine learning is about clustering data.</li><li>Machine learning is a type of artificial intelligence that relies on learning through data.</li><li>Artificial intelligence is form of unsupervised machine learning.</li><li>Machine learning and artificial intelligence are the same thing.</li></ul>",Machine learning is a type of artificial intelligence that relies on learning through data.
<b> How do machine learning algorithms make more precise predictions?</b><br><ul><li>The algorithms are typically run more powerful servers.</li><li>The algorithms are better at seeing patterns in the data.</li><li>Machine learning servers can host larger databases.</li><li>The algorithms can run on unstructured data.</li></ul>,The algorithms are better at seeing patterns in the data.
<b> You work for an insurance company. Which machine learning project would add the most value for the company!</b><br><ul><li>Create an artificial neural network that would host the company directory.</li><li>Use machine learning to better predict risk.</li><li>Create an algorithm that consolidates all of your Excel spreadsheets into one data lake.</li><li>Use machine learning and big data to research salary requirements.</li></ul>,Use machine learning to better predict risk.
"<b> What is the missing information in this diagram?</b><br><br><img src=""machine-learning-quiz_machine-learning_Q18""><br><br><ul><li>Training Set</li><li>Unsupervised Data</li><li>Supervised Learning</li><li>Binary Classification</li></ul>",Supervised Learning
<b> What is one reason not to use the same data for both your training set and your testing set?</b><br><ul><li>You will almost certainly underfit the model.</li><li>You will pick the wrong algorithm.</li><li>You might not have enough data for both.</li><li>You will almost certainly overfit the model.</li></ul>,You will almost certainly overfit the model.
"<b> Your university wants to use machine learning algorithms to help sort through incoming student applications. An administrator asks if the admissions decisions might be biased against any particular group, such as women. What would be the best answer?</b><br><ul><li>Machine learning algorithms are based on math and statistics, and so by definition will be unbiased.</li><li>There is no way to identify bias in the data.</li><li>Machine learning algorithms are powerful enough to eliminate bias from the data.</li><li>All human-created data is biased, and data scientists need to account for that.</li></ul>","All human-created data is biased, and data scientists need to account for that.<br><br>**Explanation**: While machine learning algorithms don't have bias, the data can have them.<br>"
<b> What is stacking?</b><br><ul><li>The predictions of one model become the inputs another.</li><li>You use different versions of machine learning algorithms.</li><li>You use several machine learning algorithms to boost your results.</li><li>You stack your training set and testing set together.</li></ul>,The predictions of one model become the inputs another.
"<b> You want to create a supervised machine learning system that identifies pictures of kittens on social media. To do this, you have collected more than </b><br><ul><li>training data</li><li>linear regression</li><li>big data</li><li>test data</li></ul>",training data
<b> You are working on a project that involves clustering together images of different dogs. You take image and identify it as your centroid image. What type machine learning algorithm are you using?</b><br><ul><li>centroid reinforcement</li><li>K-nearest neighbor</li><li>binary classification</li><li>K-means clustering</li></ul>,"K-means clustering<br><br>**Explanation**: The problem explicitly states ""clustering"".<br>"
<b> Your company wants you to build an internal email text prediction model to speed up the time that employees spend writing emails. What should you do?</b><br><ul><li>Include training email data from all employees.</li><li>Include training email data from new employees.</li><li>Include training email data from seasoned employees.</li><li>Include training email data from employees who write the majority of internal emails.</li></ul>,Include training email data from all employees.
<b> Your organization allows people to create online professional profiles. A key feature is the ability to create clusters of people who are professionally connected to one another. What type of machine learning method is used to create these clusters?</b><br><ul><li>unsupervised machine learning</li><li>binary classification</li><li>supervised machine learning</li><li>reinforcement learning</li></ul>,unsupervised machine learning
"<b> What is this diagram a good example of?</b><br><br><img src=""machine-learning-quiz_machine-learning_Q26""><br><br><ul><li>K-nearest neighbor</li><li>a decision tree</li><li>a linear regression</li><li>a K-means clusterNote: there are centres of clusters (C0, C1, C2).<br></li></ul>","a K-means clusterNote: there are centres of clusters (C0, C1, C2).<br>"
<b> Random forest is modified and improved version of which earlier technique?</b><br><ul><li>aggregated trees</li><li>boosted trees</li><li>bagged trees</li><li>stacked trees</li></ul>,bagged trees
<b> Self-organizing maps are specialized neural network for which type of machine learning?</b><br><ul><li>semi-supervised learning</li><li>supervised learning</li><li>reinforcement learning</li><li>unsupervised learning</li></ul>,semi-supervised learning
"<b> Which statement about K-means clustering is true?</b><br><ul><li>In K-means clustering, the initial centroids are sometimes randomly selected.</li><li>K-means clustering is often used in supervised machine learning.</li><li>The number of clusters are always randomly selected.</li><li>To be accurate, you want your centroids outside of the cluster.</li></ul>","In K-means clustering, the initial centroids are sometimes randomly selected."
<b> You created machine learning system that interacts with its environment and responds to errors and rewards. What type of machine learning system is it?</b><br><ul><li>supervised learning</li><li>semi-supervised learning</li><li>reinforcement learning</li><li>unsupervised learning</li></ul>,reinforcement learning
"<b> Your data science team must build a binary classifier, and the number one criterion is the fastest possible scoring at deployment. It may even be deployed in real time. Which technique will produce a model that will likely be fastest for the deployment team use to new cases?</b><br><ul><li>random forest</li><li>logistic regression</li><li>KNN</li><li>deep neural network</li></ul>",logistic regression
<b> Your data science team wants to use the K-nearest neighbor classification algorithm. Someone on your team wants to use a K of </b><br><ul><li>Higher K values will produce noisy data.</li><li>Higher K values lower the bias but increase the variance.</li><li>Higher K values need a larger training set.</li><li>Higher K values lower the variance but increase the bias.</li></ul>,Higher K values lower the variance but increase the bias.
<b> Your machine learning system is attempting to describe a hidden structure from unlabeled data. How would you describe this machine learning method?</b><br><ul><li>supervised learning</li><li>unsupervised learning</li><li>reinforcement learning</li><li>semi-unsupervised learning</li></ul>,unsupervised learning
"<b> You work for a large credit card processing company that wants to create targeted promotions for its customers. The data science team created a machine learning system that groups together customers who made similar purchases, and divides those customers based on customer loyalty. How would you describe this machine learning approach?</b><br><ul><li>It uses unsupervised learning to cluster together transactions and unsupervised learning to classify the customers.</li><li>It uses only unsupervised machine learning.</li><li>It uses supervised learning to create clusters and unsupervised learning for classification.</li><li>It uses reinforcement learning to classify the customers.</li></ul>",It uses unsupervised learning to cluster together transactions and unsupervised learning to classify the customers.
<b> You are using K-nearest neighbor and you have a K of </b><br><ul><li>high variance and low bias</li><li>low bias and low variance</li><li>low variance and high bias</li><li>high bias and high variance</li></ul>,high variance and low bias
"<b> Are data model bias and variance a challenge with unsupervised learning?</b><br><ul><li>No, data model bias and variance are only a challenge with reinforcement learning.</li><li>Yes, data model bias is a challenge when the machine creates clusters.</li><li>Yes, data model variance trains the unsupervised machine learning algorithm.</li><li>No, data model bias and variance involve supervised learning.</li></ul>","Yes, data model bias is a challenge when the machine creates clusters."
<b> Which choice is best for binary classification?</b><br><ul><li>K-means</li><li>Logistic regression</li><li>Linear regression</li><li>Principal Component Analysis (PCA)</li></ul>,Logistic regression<br><br>**Explanation:** Logistic regression is far better than linear regression at binary classification since it biases the result toward one extreme or the other. K-means clustering can be used for classification but is not as accurate in most scenarios.<br>[Source:](https://www.kaggle.com/minc33/k-means-clustering-vs-logistic-regression)<br>
"<b> With traditional programming, the programmer typically inputs commands. With machine learning, the programmer inputs</b><br><ul><li>supervised learning</li><li>data</li><li>unsupervised learning</li><li>algorithms</li></ul>",data<br><br>**Explanation**: This one is pretty straight forward and a fundamental concept.<br>[Source:](https://towardsdatascience.com/machine-learning-for-beginners-d247a9420dab)<br>
"<b> Why is it important for machine learning algorithms to have access to high-quality data?</b><br><ul><li>It will take too long for programmers to scrub poor data.</li><li>If the data is high quality, the algorithms will be easier to develop.</li><li>Low-quality data requires much more processing power than high-quality data.</li><li>If the data is low quality, you will get inaccurate results.</li></ul>","If the data is low quality, you will get inaccurate results."
"<b> In K-nearest neighbor, the closer you are to neighbor, the more likely you are to</b><br><ul><li>share common characteristics</li><li>be part of the root node</li><li>have a Euclidean connection</li><li>be part of the same cluster</li></ul>",share common characteristics
"<b> In the HBO show Silicon Valley, one of the characters creates a mobile application called Not Hot Dog. It works by having the user take a photograph of food with their mobile device. Then the app says whether the food is a hot dog. To create the app, the software developer uploaded hundreds of thousands of pictures of hot dogs. How would you describe this type of machine learning?</b><br><ul><li>Reinforcement machine learning</li><li>unsupervised machine learning</li><li>supervised machine learning</li><li>semi-supervised machine learning</li></ul>",supervised machine learning
"<b> You work for a large pharmaceutical company whose data science team wants to use unsupervised learning machine algorithms to help discover new drugs. What is an advantage to this approach?</b><br><ul><li>You will be able to prioritize different classes of drugs, such as antibiotics.</li><li>You can create a training set of drugs you would like to discover.</li><li>The algorithms will cluster together drugs that have similar traits.</li><li>Human experts can create classes of drugs to help guide discovery.</li></ul>",The algorithms will cluster together drugs that have similar traits.<br><br>**Explanation**: This one is similar to an example talked about in the Stanford Machine Learning course.<br>[Source:](https://www.coursera.org/learn/machine-learning/home/welcome)<br>
<b> In </b><br><ul><li>The system went from supervised learning to reinforcement learning.</li><li>The system evolved from supervised learning to unsupervised learning.</li><li>The system evolved from unsupervised learnin9 to supervised learning.</li><li>The system evolved from reinforcement learning to unsupervised learning.</li></ul>,The system went from supervised learning to reinforcement learning.
<b> The security company you work for is thinking about adding machine learning algorithms to their computer network threat detection appliance. What is one advantage of using machine learning?</b><br><ul><li>It could better protect against undiscovered threats.</li><li>It would very likely lower the hardware requirements.</li><li>It would substantially shorten your development time.</li><li>It would increase the speed of the appliance.</li></ul>,It could better protect against undiscovered threats.
<b> You work for a hospital that is tracking the community spread of a virus. The hospital created a smartwatch application that uploads body temperature data from hundreds of thousands of participants. What is the best technique to analyze the data?</b><br><ul><li>Use reinforcement learning to reward the system when a new person participates.</li><li>Use unsupervised machine learning to cluster together people based on patterns the machine discovers.</li><li>Use Supervised machine learning to sort people by demographic data.</li><li>Use Supervised machine learning to classify people by body temperature.</li></ul>,Use Supervised machine learning to classify people by body temperature.
<b> Many of the advances in machine learning have come from improved `___`.</b><br><ul><li>statistics</li><li>structured data</li><li>availability</li><li>algorithms</li></ul>,algorithms
"<b> What is this diagram a good example of?</b><br><br><img src=""machine-learning-quiz_machine-learning_Q45""><br><br><ul><li>unsupervised learning</li><li>complex cluster</li><li>multiclass classification</li><li>k-nearest neighbour</li></ul>",k-nearest neighbour
<b> Naive Bayes looks at each **\_** predictor and creates a probability that belongs in each class.</b><br><ul><li>conditional</li><li>multiclass</li><li>independent</li><li>binary</li></ul>,independent<br><br>[Reference](https://towardsdatascience.com/all-about-naive-bayes-8e13cef044cf)<br>
"<b> Someone on your data science team recommends that you use decision trees, naive Bayes and K-nearest neighbor, all at the same time, on the same training data, and then average the results. What is this an example of?</b><br><ul><li>regression analysis</li><li>unsupervised learning</li><li>high -variance modeling</li><li>ensemble modeling</li></ul>",ensemble modeling
<b> Your data science team wants to use machine learning to better filter out spam messages. The team has gathered a database of </b><br><ul><li>machine learning algorithm</li><li>training set</li><li>big data test set</li><li>data cluster</li></ul>,training set
<b> You work for a website that enables customers see all images of themselves on the internet by uploading one self-photo. Your data model uses </b><br><ul><li>You are overfitting the model to the data</li><li>You need a smaller training set</li><li>You are underfitting the model to the data</li><li>You need a larger training set</li></ul>,You are underfitting the model to the data
<b> Your supervisor asks you to create a machine learning system that will help your human resources department classify jobs applicants into well-defined groups. What type of system are you more likely to recommend?</b><br><ul><li>an unsupervised machine learning system that clusters together the best candidates.</li><li>you would not recommend a machine learning system for this type of project.</li><li>a deep learning artificial neural network that relies on petabytes of employment data.</li><li>a supervised machine learning system that classifies applicants into existing groups.</li></ul>,a supervised machine learning system that classifies applicants into existing groups.
<b> You and your data science team have </b><br><ul><li>you use it as your training set.</li><li>You label it big data.</li><li>You split it into a training set and test set.</li><li>You use it as your test set.</li></ul>,You label it big data.
"<b> Your data science team is working on a machine learning product that can act as an artificial opponent in video games. The team is using a machine learning algorithm that focuses on rewards: If the machine does some things well, then it improves the quality of the outcome. How would you describe this type of machine learning algorithm?</b><br><ul><li>semi-supervised machine learning</li><li>supervised machine learning</li><li>unsupervised machine learning</li><li>reinforcement learning</li></ul>",reinforcement learning
<b> The model will be trained with data in one single batch is known as ?</b><br><ul><li>Batch learning</li><li>Offline learning</li><li>Both A and B</li><li>None of the above</li></ul>,Both A and B
<b> Which of the following is NOT supervised learning?</b><br><ul><li>Decision Tree</li><li>Linear Regression</li><li>PCA</li><li>Naive Bayesian</li></ul>,PCA
<b> Suppose we would like to perform clustering on spatial data such as the geometrical locations of houses. We wish to produce clusters of many different sizes and shapes. Which of the following methods is the most appropriate?</b><br><ul><li>Decision Trees</li><li>K-means clustering</li><li>Density-based clustering</li><li>Model-based clustering</li></ul>,Density-based clustering
<b> The error function most suited for gradient descent using logistic regression is</b><br><ul><li>The entropy function.</li><li>The squared error.</li><li>The cross-entropy function.</li><li>The number of mistakes.</li></ul>,The cross-entropy function.
"<b> Compared to the variance of the Maximum Likelihood Estimate (MLE), the variance of the Maximum A Posteriori (MAP) estimate is `___`</b><br><ul><li>Higher</li><li>same</li><li>Lower</li><li>it could be any of the above</li></ul>",Lower
